epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77098,1.98986,13.1381,1.47081,0.00121,0.27302,0.0068,0.0016,2.34133,12.6921,3.65594,0.0892,0.0012,0.0012
2,4.71362,1.49036,4.90705,1.2649,0.05712,0.54051,0.075,0.04304,2.31913,212.173,23.2334,0.0774976,0.00249756,0.00249756
3,6.78112,1.32051,2.97003,1.15241,0.30973,0.28867,0.08163,0.02741,3.11103,inf,19.8289,0.0657852,0.00378517,0.00378517
4,8.94676,1.26901,2.52756,1.12253,0.00032,0.02833,0.00019,9e-05,3.30621,231.457,12.1882,0.0540553,0.00505528,0.00505528
5,10.9363,1.15679,2.2736,1.07371,0.00217,0.09698,0.00544,0.00257,2.80923,14.1562,3.91572,0.0423005,0.00630047,0.00630047
6,12.9438,1.16925,2.21948,1.05677,0.12582,0.01293,0.00071,0.00011,3.92813,83.9387,7.37675,0.0305135,0.00751345,0.00751345
7,14.7263,1.10744,2.0973,1.04154,0.28716,0.0876,0.01566,0.01113,3.35909,178.623,10.2231,0.0186872,0.00868715,0.00868715
8,16.6198,1.10936,2.13318,1.02837,0.31356,0.44393,0.23084,0.16312,1.78782,inf,3.20685,0.00952889,0.00952889,0.00952889
9,18.8185,1.04222,1.99149,1.00907,0.18993,0.70823,0.24975,0.14929,1.93436,inf,2.0375,0.00938772,0.00938772,0.00938772
10,20.6486,1.05439,2.04666,1.00903,0.25678,0.79703,0.33841,0.16999,1.59206,37.9128,1.92942,0.00922942,0.00922942,0.00922942
11,22.4253,1.0022,1.86015,0.99171,0.36297,0.76695,0.32466,0.1995,1.49739,25.8236,1.95953,0.00905463,0.00905463,0.00905463
12,24.3075,0.98239,1.81137,0.97488,0.24689,0.84197,0.33232,0.19723,1.2913,17.3044,1.37119,0.00886404,0.00886404,0.00886404
13,26.1295,0.97382,1.83153,0.96557,0.32259,0.76858,0.40125,0.24289,1.31339,15.5944,1.35184,0.00865839,0.00865839,0.00865839
14,28.1171,0.97307,1.79124,0.96592,0.31248,0.94116,0.41164,0.27562,1.17919,20.4407,1.14846,0.00843851,0.00843851,0.00843851
15,29.946,0.97803,1.73012,0.9517,0.34865,0.85952,0.42265,0.29347,1.03327,17.2046,1.13425,0.00820525,0.00820525,0.00820525
16,31.7623,0.91069,1.67998,0.93288,0.33889,0.9532,0.49566,0.36441,1.24538,14.8658,1.23311,0.00795954,0.00795954,0.00795954
17,33.522,0.86093,1.6115,0.91076,0.32388,0.92352,0.41857,0.30276,1.01416,13.0857,0.93005,0.00770234,0.00770234,0.00770234
18,35.296,0.84637,1.56163,0.9093,0.36346,0.98374,0.50808,0.38443,0.89414,12.6253,0.91638,0.00743468,0.00743468,0.00743468
19,37.0817,0.82262,1.48911,0.88503,0.35028,0.95758,0.49653,0.37895,0.79399,12.3012,0.89994,0.00715761,0.00715761,0.00715761
20,38.9583,0.83941,1.48566,0.8902,0.36924,0.99674,0.5596,0.41118,0.98068,11.4623,0.94737,0.00687222,0.00687222,0.00687222
21,40.7665,0.83286,1.47233,0.88332,0.38582,0.9952,0.53807,0.43667,0.9017,9.71002,0.90339,0.00657963,0.00657963,0.00657963
22,42.5645,0.78217,1.41743,0.87841,0.38903,0.99701,0.54273,0.43602,0.79042,9.54727,0.93283,0.00628101,0.00628101,0.00628101
23,44.3822,0.77025,1.40271,0.86931,0.37336,1,0.4821,0.40005,0.68047,10.5032,0.87069,0.00597754,0.00597754,0.00597754
24,46.2384,0.7586,1.40561,0.85855,0.36753,0.999,0.5431,0.44589,0.71696,8.64818,0.8571,0.0056704,0.0056704,0.0056704
25,48.1208,0.76951,1.41533,0.86577,0.37305,0.97984,0.44967,0.38109,0.6801,9.34298,0.88553,0.00536081,0.00536081,0.00536081
26,49.9182,0.75084,1.38432,0.86185,0.39949,0.98092,0.47595,0.39626,0.75089,10.43,0.83828,0.00505,0.00505,0.00505
27,51.6815,0.74062,1.3608,0.84595,0.4092,1,0.45454,0.36622,0.68796,10.3236,0.91709,0.00473919,0.00473919,0.00473919
28,53.4161,0.74021,1.351,0.85998,0.37275,1,0.49044,0.41579,0.7698,10.341,0.86221,0.0044296,0.0044296,0.0044296
29,55.2508,0.7161,1.30323,0.85348,0.37373,1,0.44919,0.38203,0.6137,9.62736,0.82085,0.00412246,0.00412246,0.00412246
30,57.0356,0.70038,1.27904,0.84749,0.3732,1,0.47321,0.41083,0.69524,9.48655,0.84756,0.00381899,0.00381899,0.00381899
31,58.8148,0.70977,1.27895,0.83639,0.37236,0.98187,0.48489,0.41163,0.69821,9.51406,0.82479,0.00352037,0.00352037,0.00352037
32,60.7346,0.69702,1.27275,0.83549,0.37282,1,0.48325,0.41482,0.54207,9.47092,0.82647,0.00322778,0.00322778,0.00322778
33,62.513,0.65581,1.20565,0.82893,0.37599,1,0.50733,0.43607,0.59191,10.015,0.81695,0.00294239,0.00294239,0.00294239
34,64.3202,0.67638,1.19479,0.82371,0.38313,1,0.4715,0.41327,0.60911,9.50685,0.82159,0.00266532,0.00266532,0.00266532
35,66.2417,0.66457,1.21606,0.82514,0.38205,0.9977,0.45484,0.39628,0.5665,8.25708,0.85113,0.00239766,0.00239766,0.00239766
36,68.1502,0.67025,1.21732,0.81748,0.375,0.99784,0.47771,0.41048,0.58416,8.45982,0.81695,0.00214046,0.00214046,0.00214046
37,69.9913,0.67285,1.18225,0.82509,0.37489,1,0.48487,0.42325,0.53455,9.05648,0.791,0.00189475,0.00189475,0.00189475
38,71.7561,0.63415,1.15756,0.81755,0.37434,1,0.51658,0.45694,0.56851,9.01942,0.79972,0.00166149,0.00166149,0.00166149
39,73.5892,0.61844,1.12869,0.80652,0.37477,1,0.43636,0.38473,0.54334,9.10248,0.79036,0.00144161,0.00144161,0.00144161
40,75.3968,0.6305,1.12689,0.80368,0.38164,1,0.42839,0.37812,0.57532,9.26414,0.78953,0.00123596,0.00123596,0.00123596
41,100.728,0.62766,1.12943,0.81623,0.38144,1,0.429,0.38187,0.50687,8.47184,0.78637,0.00104537,0.00104537,0.00104537
42,102.578,0.61075,1.08428,0.80681,0.37854,0.99923,0.44318,0.39504,0.53126,9.4114,0.79099,0.000870577,0.000870577,0.000870577
43,104.474,0.5991,1.09286,0.80319,0.37994,1,0.47074,0.42116,0.49985,8.92657,0.79074,0.000712282,0.000712282,0.000712282
44,106.308,0.58258,1.05337,0.81308,0.37929,1,0.48858,0.4389,0.49954,8.82711,0.78753,0.000571106,0.000571106,0.000571106
45,108.18,0.5816,1.04709,0.80083,0.3784,1,0.48637,0.43654,0.47019,9.13192,0.78448,0.000447606,0.000447606,0.000447606
46,109.989,0.56602,1.0471,0.80157,0.38793,0.97917,0.47639,0.43037,0.47872,9.41929,0.78063,0.00034227,0.00034227,0.00034227
47,111.792,0.57334,1.04721,0.80785,0.37762,1,0.47115,0.42757,0.46399,9.42849,0.77895,0.000255513,0.000255513,0.000255513
48,113.638,0.56223,1.02641,0.80237,0.37785,1,0.47108,0.42949,0.46713,9.23405,0.77972,0.000187678,0.000187678,0.000187678
49,115.489,0.55547,1.01155,0.80408,0.37778,1,0.46322,0.42374,0.46408,9.38917,0.77797,0.000139032,0.000139032,0.000139032
50,117.308,0.56011,1.03252,0.79887,0.37753,1,0.44899,0.41284,0.45207,9.36978,0.77694,0.000109768,0.000109768,0.000109768
