epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92814,2.42957,4.84354,1.79178,0.00106,0.2421,0.00671,0.00313,2.16664,4.12549,1.61386,7.497e-05,7.497e-05,7.497e-05
2,5.07774,1.54084,3.99706,1.37752,0.00243,0.40733,0.0718,0.03495,1.37164,3.94554,1.37912,0.000155421,0.000155421,0.000155421
3,7.26193,1.26179,2.71144,1.21014,0.00376,0.57167,0.15717,0.09828,1.28369,3.37762,1.36982,0.000232873,0.000232873,0.000232873
4,9.53891,1.09992,1.89871,1.11666,0.00634,0.70766,0.27073,0.18578,1.00127,2.93979,1.03254,0.000307327,0.000307327,0.000307327
5,12.0326,0.98592,1.5035,1.05892,0.89082,0.19159,0.38176,0.29173,1.10383,2.67524,0.99172,0.000378782,0.000378782,0.000378782
6,14.1471,0.90415,1.3374,1.0235,0.86657,0.2109,0.39069,0.31764,0.92629,2.49459,0.97604,0.000447238,0.000447238,0.000447238
7,16.2301,0.91692,1.23519,1.01566,0.85949,0.2109,0.41699,0.32016,0.93719,2.41162,1.00286,0.000512695,0.000512695,0.000512695
8,18.3378,0.85047,1.11465,0.9952,0.82677,0.21983,0.45444,0.3523,0.85653,2.27576,1.00906,0.000575153,0.000575153,0.000575153
9,20.4647,0.84813,1.05119,0.98792,0.66668,0.23922,0.49563,0.39515,0.98517,2.11406,1.0193,0.000634613,0.000634613,0.000634613
10,22.5076,0.78973,0.96905,0.96545,0.66431,0.51491,0.54892,0.45295,0.84346,1.67838,0.96458,0.000691073,0.000691073,0.000691073
11,24.4974,0.80499,0.97676,0.97045,0.70882,0.41092,0.53819,0.44367,0.7695,1.82129,0.94053,0.00068306,0.00068306,0.00068306
12,26.5323,0.79506,0.93148,0.95796,0.49909,0.92587,0.57939,0.47885,0.75271,1.27686,0.93551,0.000668066,0.000668066,0.000668066
13,28.4632,0.77508,0.92768,0.95063,0.49037,0.92652,0.57197,0.46689,0.70534,1.30117,0.88344,0.000653072,0.000653072,0.000653072
14,30.5408,0.74947,0.86358,0.93441,0.50063,0.94377,0.58306,0.48138,0.75799,1.34738,0.92001,0.000638078,0.000638078,0.000638078
15,32.6027,0.72027,0.84445,0.93555,0.48148,0.96631,0.59129,0.49682,0.63451,1.3837,0.89097,0.000623084,0.000623084,0.000623084
16,34.6395,0.72011,0.80002,0.92461,0.47871,0.97681,0.57004,0.4841,0.57796,1.2234,0.87739,0.00060809,0.00060809,0.00060809
17,36.6628,0.67537,0.7792,0.92784,0.49165,0.97131,0.57506,0.48062,0.6492,1.2245,0.89624,0.000593096,0.000593096,0.000593096
18,38.8501,0.67554,0.74457,0.91623,0.50465,0.94149,0.5874,0.50918,0.58682,1.27962,0.89353,0.000578102,0.000578102,0.000578102
19,40.9481,0.63491,0.7372,0.91013,0.48573,0.94623,0.5557,0.49109,0.5354,1.32579,0.88246,0.000563108,0.000563108,0.000563108
20,43.0576,0.6497,0.71627,0.90859,0.5099,0.95193,0.60506,0.52084,0.77439,1.30098,0.88669,0.000548114,0.000548114,0.000548114
21,45.0815,0.66161,0.70894,0.91225,0.48383,0.96501,0.59039,0.49334,0.64985,1.49462,0.88647,0.00053312,0.00053312,0.00053312
22,47.0644,0.66657,0.71253,0.90429,0.51124,0.96704,0.59274,0.50162,0.65399,1.4238,0.87377,0.000518126,0.000518126,0.000518126
23,49.0267,0.62265,0.6853,0.90049,0.48044,0.9772,0.60038,0.52851,0.51502,1.46496,0.85853,0.000503132,0.000503132,0.000503132
24,51.0448,0.61507,0.66888,0.90003,0.51403,0.98323,0.5992,0.51528,0.71008,1.60365,0.86307,0.000488138,0.000488138,0.000488138
25,53.0654,0.63864,0.66686,0.90255,0.52065,0.96122,0.61942,0.53924,0.51453,1.47739,0.86301,0.000473144,0.000473144,0.000473144
26,55.0885,0.6341,0.68013,0.90185,0.51084,0.99059,0.61822,0.53185,0.60741,1.96114,0.86828,0.00045815,0.00045815,0.00045815
27,57.1052,0.6229,0.67712,0.89486,0.52612,0.95153,0.60399,0.52608,0.49775,1.3955,0.86782,0.000443156,0.000443156,0.000443156
28,59.2995,0.608,0.6631,0.90365,0.52802,0.96188,0.5791,0.51259,0.5428,1.50374,0.87351,0.000428162,0.000428162,0.000428162
29,61.2749,0.58871,0.64119,0.89096,0.50789,0.98618,0.58052,0.5292,0.47267,1.46785,0.85833,0.000413168,0.000413168,0.000413168
30,63.2496,0.60114,0.62329,0.88084,0.51026,0.98437,0.58964,0.51972,0.54534,1.58553,0.86028,0.000398174,0.000398174,0.000398174
31,65.2961,0.57742,0.61738,0.88635,0.507,0.98792,0.57237,0.50969,0.47894,1.59921,0.85625,0.00038318,0.00038318,0.00038318
32,67.3148,0.58938,0.61562,0.88581,0.50993,0.96651,0.57418,0.48485,0.58321,1.61462,0.86886,0.000368186,0.000368186,0.000368186
33,69.306,0.58099,0.61182,0.88669,0.50459,0.98834,0.59043,0.51883,0.54021,1.4929,0.85803,0.000353192,0.000353192,0.000353192
34,71.4023,0.56324,0.59868,0.88242,0.49907,0.98098,0.5775,0.51302,0.45371,1.68963,0.85446,0.000338198,0.000338198,0.000338198
35,73.4905,0.55887,0.60012,0.88741,0.48196,0.97597,0.55313,0.49664,0.47237,1.49945,0.84832,0.000323204,0.000323204,0.000323204
