epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.8166,2.83008,4.66277,2.04322,0.0044,0.38697,0.01905,0.00381,2.23397,3.88488,2.11513,0.0919,0.0009,0.0009
2,7.91647,1.97536,2.53683,1.56868,0,0,0,0,3.96331,175.491,26.5484,0.0828812,0.00188119,0.00188119
3,10.1084,1.61742,1.65569,1.40278,0.80015,0.175,0.00024,9e-05,4.18044,inf,13.4242,0.0738426,0.00284258,0.00284258
4,12.2949,1.42814,1.36845,1.33298,0.00204,0.18431,0.00129,0.00037,2.93266,inf,8.88968,0.0647842,0.00378417,0.00378417
5,14.8492,1.32683,1.16365,1.25083,0.00221,0.05282,0.00152,0.00097,3.76121,inf,69.9266,0.055706,0.00470596,0.00470596
6,16.8164,1.25532,1.03744,1.20979,0.12214,0.44793,0.14381,0.07762,2.2849,inf,4.16288,0.046608,0.00560795,0.00560795
7,18.6998,1.24111,1.0254,1.18742,0.55944,0.37723,0.28734,0.12541,2.16062,21.6891,4.33146,0.0374901,0.00649014,0.00649014
8,20.5926,1.1666,0.93732,1.13912,0.48976,0.42645,0.3276,0.13453,1.97879,26.193,2.58289,0.0283525,0.00735253,0.00735253
9,22.5304,1.14117,0.91928,1.14307,0.51458,0.42355,0.20761,0.10838,1.66129,12.559,2.49928,0.0191951,0.00819512,0.00819512
10,24.4323,1.13409,0.9206,1.11582,0.41997,0.15434,0.13761,0.0877,2.02905,61.8678,3.35405,0.0100179,0.00901791,0.00901791
11,26.3214,1.11658,0.89975,1.10355,0.78553,0.119,0.12143,0.0691,2.88936,inf,4.56492,0.00901,0.00901,0.00901
12,28.2161,1.09349,0.8561,1.09613,0.61583,0.34038,0.38592,0.25715,1.44625,6.32424,1.68042,0.008911,0.008911,0.008911
13,30.0572,1.0546,0.83479,1.06735,0.77033,0.66986,0.6775,0.3977,1.28172,2.04764,1.4511,0.008812,0.008812,0.008812
14,31.8062,1.03068,0.78876,1.06879,0.65138,0.7855,0.81167,0.46191,1.39657,1.54407,1.55303,0.008713,0.008713,0.008713
15,33.4269,1.03301,0.79304,1.05969,0.66215,0.90211,0.84048,0.54854,1.22105,1.4698,1.07758,0.008614,0.008614,0.008614
16,35.058,0.97373,0.74775,1.03574,0.87657,0.70323,0.81048,0.56718,1.14268,2.62929,1.07401,0.008515,0.008515,0.008515
17,36.8772,0.93695,0.7093,1.01351,0.81647,0.72401,0.83925,0.57858,1.16184,1.36354,1.09928,0.008416,0.008416,0.008416
18,38.8033,0.96202,0.70936,1.00575,0.64454,0.87319,0.82999,0.54024,1.27927,1.53893,0.99356,0.008317,0.008317,0.008317
19,40.7616,0.96726,0.69046,0.98005,0.93264,0.50915,0.81143,0.52978,1.17153,1.08561,0.94302,0.008218,0.008218,0.008218
20,42.6383,0.89669,0.67634,0.97405,0.79983,0.90748,0.9024,0.68981,0.92481,1.193,0.8957,0.008119,0.008119,0.008119
21,44.4917,0.87008,0.65166,0.97414,0.8495,0.81601,0.92915,0.67414,0.92728,0.88914,0.88843,0.00802,0.00802,0.00802
22,46.2958,0.81705,0.62075,0.95287,0.94456,0.88673,0.97215,0.70235,0.93109,0.88158,0.95677,0.007921,0.007921,0.007921
23,48.1023,0.86879,0.63243,0.96325,0.81871,0.92345,0.96519,0.7699,0.83862,0.96975,0.8768,0.007822,0.007822,0.007822
24,49.9144,0.81959,0.60781,0.94109,0.88278,0.84815,0.93528,0.69956,0.96747,0.70816,0.96551,0.007723,0.007723,0.007723
25,51.6831,0.8801,0.62038,0.95778,0.81464,0.93526,0.93822,0.68833,0.93383,0.8336,1.10973,0.007624,0.007624,0.007624
26,53.5291,0.85384,0.59282,0.94027,0.87153,0.8878,0.94994,0.63905,1.3003,0.76728,0.96316,0.007525,0.007525,0.007525
27,55.3126,0.85042,0.61324,0.94676,0.91774,0.92294,0.95083,0.71925,0.97547,0.66597,0.93011,0.007426,0.007426,0.007426
28,57.1127,0.79913,0.5788,0.93726,0.90407,0.91762,0.92537,0.70824,0.90455,0.56925,1.01532,0.007327,0.007327,0.007327
29,58.8876,0.79226,0.59796,0.93312,0.9301,0.90032,0.95096,0.76366,0.83234,0.63355,0.91487,0.007228,0.007228,0.007228
30,60.7733,0.80374,0.58276,0.92739,0.90438,0.9219,0.94959,0.73568,0.82134,0.6571,0.9013,0.007129,0.007129,0.007129
31,62.3563,0.78452,0.5704,0.92149,0.94127,0.93957,0.97326,0.76974,0.82205,0.54204,0.92658,0.00703,0.00703,0.00703
32,64.0555,0.75713,0.56023,0.91765,0.87934,0.96982,0.96866,0.77334,0.74871,0.60805,0.8235,0.006931,0.006931,0.006931
33,65.7332,0.79543,0.5676,0.91501,0.87556,0.97207,0.96625,0.73808,0.9238,0.71214,0.83358,0.006832,0.006832,0.006832
34,67.3594,0.80978,0.5872,0.91427,0.93332,0.95379,0.95888,0.76291,0.74498,0.54503,0.82318,0.006733,0.006733,0.006733
35,68.9975,0.73328,0.54988,0.90488,0.88518,0.94635,0.95508,0.75172,0.70555,0.53537,0.85191,0.006634,0.006634,0.006634
36,70.7412,0.69429,0.53036,0.89994,0.80815,0.78537,0.84647,0.67789,0.71183,0.55761,0.87525,0.006535,0.006535,0.006535
37,72.4558,0.74024,0.53651,0.89943,0.78733,0.9096,0.90837,0.66371,0.87268,0.66645,0.90828,0.006436,0.006436,0.006436
38,74.1032,0.75874,0.5575,0.91354,0.81318,0.92809,0.94818,0.73323,0.7854,0.57105,0.84802,0.006337,0.006337,0.006337
39,75.6648,0.71001,0.51883,0.90221,0.94364,0.97477,0.97999,0.80508,0.72059,0.5249,0.8332,0.006238,0.006238,0.006238
40,77.2377,0.70068,0.51145,0.90746,0.9553,0.95209,0.97309,0.82044,0.78413,0.49317,0.87613,0.006139,0.006139,0.006139
41,79.092,0.67977,0.50139,0.90916,0.97885,0.97754,0.97892,0.79929,0.83613,0.56233,0.88472,0.00604,0.00604,0.00604
42,80.7544,0.6701,0.48746,0.88232,0.93099,0.96999,0.97818,0.80891,0.73199,0.53757,0.80689,0.005941,0.005941,0.005941
43,82.4522,0.6405,0.48066,0.87701,0.94713,0.97754,0.97738,0.8357,0.60245,0.44817,0.79037,0.005842,0.005842,0.005842
44,84.048,0.63256,0.47966,0.88564,0.98007,0.93822,0.97626,0.81909,0.67464,0.49803,0.81511,0.005743,0.005743,0.005743
45,85.5729,0.65064,0.4839,0.87039,0.91233,0.97266,0.98277,0.80305,0.72,0.50268,0.7953,0.005644,0.005644,0.005644
46,87.1248,0.69226,0.50845,0.87446,0.92766,0.95095,0.98202,0.83347,0.66702,0.44452,0.76979,0.005545,0.005545,0.005545
47,88.7176,0.70024,0.49867,0.87883,0.96017,0.94535,0.98248,0.82993,0.6878,0.44968,0.78033,0.005446,0.005446,0.005446
48,90.4708,0.65573,0.47822,0.87071,0.96745,0.94745,0.98313,0.82328,0.64202,0.40444,0.80916,0.005347,0.005347,0.005347
49,92.0175,0.63365,0.46397,0.87104,0.97454,0.96217,0.9833,0.85268,0.60071,0.418,0.76701,0.005248,0.005248,0.005248
50,93.6213,0.6162,0.44744,0.86319,0.95323,0.95051,0.98012,0.82508,0.66345,0.44864,0.77145,0.005149,0.005149,0.005149
