epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40934,0,118.225,0,0,0,0,0,0,71.4263,0,0.000325,0.000325,0.000325
2,7.93695,0,99.253,0,0,0,0,0,0,66.0603,0,0.000649382,0.000649382,0.000649382
3,11.0042,0,88.039,0,0,0,0,0,0,66.231,0,0.0009604,0.0009604,0.0009604
4,13.9836,0,79.2162,0,0,0,0,0,0,65.2243,0,0.00117575,0.00117575,0.00117575
5,17.009,0,71.0048,0,0,0,0,0,0,28.8281,0,0.001151,0.001151,0.001151
6,19.9474,0,62.6632,0,0,0,0,0,0,0.77734,0,0.00112625,0.00112625,0.00112625
7,22.8956,0,55.027,0,0,0,0,0,0,0.00056,0,0.0011015,0.0011015,0.0011015
8,26.1389,0,48.1195,0,0,0,0,0,0,0.00363,0,0.00107675,0.00107675,0.00107675
9,29.2439,0,41.7948,0,0,0,0,0,0,0,0,0.001052,0.001052,0.001052
10,32.2932,0,36.1407,0,0,0,0,0,0,0,0,0.00102725,0.00102725,0.00102725
11,35.3567,0,31.3603,0,0,0,0,0,0,0,0,0.0010025,0.0010025,0.0010025
12,37.9152,0,27.107,0,0,0,0,0,0,0.00391,0,0.00097775,0.00097775,0.00097775
