epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68806,3.78833,16.1353,2.72524,0,0,0,0,1.95867,inf,1.84873,0.0883,0.0013,0.0013
2,7.85577,2.98966,3.83952,2.06535,0,0,0,0,nan,nan,nan,0.0755931,0.00259308,0.00259308
3,10.6374,2.67468,2.54748,1.95541,0,0,0,0,nan,nan,nan,0.0627753,0.00377528,0.00377528
4,13.7053,2.51845,2.29863,1.87576,0,0,0,0,nan,nan,nan,0.0498466,0.0048466,0.0048466
5,16.6628,2.28323,2.10428,1.75023,8e-05,0.0125,5e-05,2e-05,nan,nan,nan,0.036807,0.00580704,0.00580704
6,19.6916,2.27324,2.00456,1.73489,0.00016,0.00208,2e-05,0,nan,nan,nan,0.0236566,0.0066566,0.0066566
7,22.7691,2.12061,1.87526,1.67181,0.02726,0.31522,0.03153,0.01376,1.60847,inf,1.27315,0.0103953,0.00739528,0.00739528
8,25.7805,2.13451,1.81837,1.57213,0.5344,0.19094,0.01929,0.00475,2.16422,8609.92,1.81971,0.007228,0.007228,0.007228
9,28.8122,1.99898,1.67564,1.59347,0.6659,0.26639,0.11891,0.06414,1.39202,315.624,1.09729,0.006832,0.006832,0.006832
10,31.828,2.05629,1.63135,1.63351,0.40658,0.35435,0.26365,0.11941,1.26946,256.993,0.7739,0.006436,0.006436,0.006436
11,34.8044,1.84725,1.49044,1.49962,0.47281,0.27949,0.23386,0.11115,1.28725,142.871,0.91822,0.00604,0.00604,0.00604
12,38.0374,1.62702,1.32958,1.4353,0.71743,0.26095,0.27069,0.16219,0.98839,58.5553,0.80141,0.005644,0.005644,0.005644
13,41.1428,1.5695,1.33531,1.38731,0.90551,0.21875,0.22975,0.14538,1.30851,243.184,0.77942,0.005248,0.005248,0.005248
14,44.0776,1.49858,1.21883,1.40028,0.97375,0.23958,0.30598,0.14835,1.14309,11.8514,0.63272,0.004852,0.004852,0.004852
15,47.1844,1.46539,1.21899,1.37291,0.96978,0.2424,0.33368,0.18249,0.99394,24.1808,0.62444,0.004456,0.004456,0.004456
16,50.1512,1.39218,1.18195,1.33369,0.87815,0.24583,0.32519,0.19588,1.03375,35.194,0.60096,0.00406,0.00406,0.00406
17,53.4243,1.35963,1.17547,1.30104,0.97929,0.24583,0.31842,0.22513,0.77966,55.6652,0.56525,0.003664,0.003664,0.003664
18,56.5149,1.26992,1.04856,1.22922,0.96353,0.24583,0.36455,0.22837,0.93427,8.95759,0.58115,0.003268,0.003268,0.003268
19,59.5381,1.26332,1.11808,1.21199,0.84803,0.30378,0.37273,0.24633,0.79605,2.58684,0.6357,0.002872,0.002872,0.002872
20,62.485,1.12824,1.00794,1.1714,0.5645,0.33756,0.37235,0.23759,0.97681,2.62992,0.58298,0.002476,0.002476,0.002476
21,81.1076,1.54598,1.23741,1.07733,0.59488,0.35818,0.39557,0.25651,0.82565,1.61579,0.58577,0.00208,0.00208,0.00208
22,84.0795,1.61812,1.25501,1.02075,0.49237,0.40643,0.40526,0.26184,1.05223,1.6649,0.57011,0.001684,0.001684,0.001684
23,87.1429,1.47017,1.13466,0.97412,0.7217,0.3599,0.41641,0.23116,0.99537,3.56112,0.56338,0.001288,0.001288,0.001288
24,90.1675,1.5401,1.1137,0.98294,0.71928,0.38768,0.40991,0.23785,0.99774,2.52516,0.55958,0.000892,0.000892,0.000892
25,93.1024,1.36495,1.10751,0.96372,0.49034,0.44393,0.40709,0.24939,0.8311,1.65087,0.56099,0.000496,0.000496,0.000496
